"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.9434393439802,40.3064247693101,40.3064386769743,40.3064176230608,0,1,3,1,49.4577474702028,49.874963471526,49.9598737023038,49.8796266699268,40.3789411337009,40.3023923321106,41.969273711726,43.7495683562643,47.0551278366821,48.2874957251946,40.3233667686874,46.5982386415132,46.9447620351119,45.4693615173714,49.0918128229858,49.8245801961761,49.9571092847266,49.9674560532999,49.9690503284584,48.9400688655028,47.8909912164832
90,49.9585262844177,40.3072122205444,40.3063726033587,40.3072224770752,0,1,3,1,48.1178784953383,47.4340609611589,45.3160306559862,42.0329884423216,43.3933543591322,40.3362668647658,40.843537170373,41.5196376474966,42.4226074201895,47.2277480606472,40.3918398710617,45.558820436918,47.6395603402741,41.2155669738027,44.1011146454256,49.8092923015784,49.7266307036526,49.0425020838331,49.7640369437647,46.4284570871791,45.931153665497
120,49.8362354879927,40.3066058870773,40.3066562730781,40.3066431323353,0,1,3,1,43.9085482366122,42.9079398583443,41.9605258644609,41.6058601850723,41.9224189149013,40.3391162795276,41.9716936753297,41.8782004157145,41.9357771138837,42.4410759532588,40.3323829060342,44.1328832940409,46.6359289386732,41.0191087904682,41.2934534466989,45.0441832654998,49.5518163724538,48.767162439218,49.8003975918712,46.1935176834316,45.0147758360019
150,49.2063041133033,40.3061986853755,40.3065923117975,40.3062641513371,0,1,3,1,41.7909492407487,41.6109596250147,41.4653808607217,41.3945621975925,41.3849207199806,40.3259823052742,41.5459524822691,41.8623250859527,42.2874590621391,42.4953840372023,40.3408195469791,42.5041362595499,42.9785112293399,41.234920517516,41.2322785367014,41.5508104307528,45.477831623136,48.7570914986752,49.8219015052946,46.1584304516228,42.4021935620579
180,46.505521221837,40.3065597237922,40.3065342799341,40.3065453510618,0,1,3,1,42.6428129292313,42.4463200382722,42.2614305250852,42.1695227972471,41.7220864244546,40.3361021560971,41.2326402712361,41.9889814225824,42.5606228393579,42.7845397197645,40.3420606928838,42.7559617526991,42.1480837567899,41.2517648744109,41.3953666636376,41.413777741889,41.7758042684112,43.5670559662573,49.7952915779864,45.4279255191157,43.0102268309079
210,44.5037153054724,40.306544606108,40.3065536983727,40.3065490844215,0,1,3,1,43.6011717656735,43.3189932845319,43.0072290518078,42.430900339537,41.0834868910699,40.3306604188594,41.013590887288,41.2183935196182,41.9102365489567,42.138560156513,40.334296889006,42.0841612392312,41.8611724507829,41.3980085277199,41.5840360597581,41.6151003859824,41.6441155112164,41.7722055878315,46.3220659014964,44.0368345408891,44.0594099447469
240,43.7130013749419,40.3064035330612,40.3065438658777,40.3063935968904,0,2,2,1,43.4252592856711,43.2669283126479,43.3120195636232,42.2224272209486,40.7645401010242,40.3226893719265,40.9742445737803,41.0106948397038,41.4097451347498,41.8265981608994,40.3320727340728,41.5644862855065,41.6110092731139,40.8670220933193,41.0180073409435,41.0931244068099,41.1603781626857,41.1998943342416,41.4752237424217,43.5028892840315,43.5321496453415
270,43.416391508536,40.3063755287283,40.3064884037375,40.3063989628732,0,2,2,1,42.4643941589028,42.5342512512064,42.5788929187751,41.7086109580982,40.6681270675335,40.3229681187661,40.8590284112022,40.9729011389392,41.2251273830957,41.4969428156107,40.3351131274062,41.3721529061177,41.325928078435,40.922360242279,41.0184154881374,41.0963372239444,41.1168932999007,41.1327827645869,41.1854116457358,42.6816702794051,42.5297866624403
300,42.879515992441,40.3065602721218,40.3064371320218,40.3065493693891,0,1,1,2,41.9652924714735,41.9362695940318,41.0503136021153,40.6627841393329,40.7631802457989,40.3103255112674,41.0968215883866,41.1823880821161,41.3560212919023,41.3687784452636,40.3237945911963,41.3053359977376,41.2398974320719,40.8130722915617,40.8774587176172,41.1722520644599,41.2402704857863,41.2697489673196,41.2995973985129,42.0567050947705,41.9700386884163
