"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.475424554968,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,49.7520882893452,50.1367811348512,50.2432788424424,50.4092808482421,0,2,2,3,50.4304722585575,50.4587236332527,50.4721520406707,49.2854778775221,47.648490953366,45.2825997131454,48.9637965210663,50.2622988299447,49.5124590720638,47.6041098559434,44.7074147557795,48.3546086547973,49.9839688902932,49.2854281734191,46.6304087486409,43.0902143176924,48.2976727656533,50.3903039851151
90,46.887938213635,48.643899953504,48.6646024415906,49.6464852865915,0,2,2,3,48.4956751797667,48.9911322430452,49.7153566153219,46.7211755708796,45.2624762607578,44.4071330358417,46.5128367363349,47.7542014528629,46.7264039584793,45.2210171694157,42.5985872549246,46.2031421407055,47.5350107912924,47.1010205394082,45.1812556187133,41.4157875102517,45.7107795858413,47.4285556320488
120,43.3495737868152,46.9898936074549,46.5714503387218,48.3053605775637,0,2,2,3,46.4244449271389,45.9617030436499,48.2566859395592,45.1233346342771,44.3968930817397,43.9299727208762,45.824376975002,45.8160497616152,44.8841001001179,45.1198735780176,42.4826025270043,45.4549365603161,45.2932278009654,44.0891498467312,44.6376342395476,41.5928663493467,43.7311112269573,44.2489221379241
150,42.6719838975701,44.9927341184523,44.7855096013367,46.5940726112333,0,2,2,3,44.6332509684763,43.7701286212461,46.6058030857235,44.1945548235923,44.0104129333858,43.7509310668026,44.4321887665473,44.5225730165519,43.682754849605,43.7700885341385,43.0540034383042,44.2376473703044,44.1602773022142,43.0570912161467,42.3205562099984,42.3152287949718,42.1362488194478,43.2670916180561
180,42.0072647600022,43.1887564866588,43.6600836064935,44.8907120270397,0,3,1,3,43.2755578726739,43.6384053609622,44.7303772163002,43.6596562281136,44.033276936191,43.6524376908093,44.0916706928921,43.7100477196222,43.5324463458348,43.6466179309989,43.3237270677914,44.0795916114597,43.8428285181685,42.5486661044179,42.3745597155101,41.6355793157954,43.1159953595278,42.6136705114564
210,41.4535692178665,42.818441057063,42.6985209837412,43.738870704476,0,3,1,3,42.6583337017369,42.6415088277666,43.0809822764569,43.1063304116552,43.3279330537353,43.015549762582,43.3703092690227,43.0352745513857,43.3713986327014,43.487169323108,42.911775218948,43.8159306752685,43.8765838529594,42.7252274594211,42.6934448779876,41.4933687250075,42.4025681460092,42.5199243229868
240,41.1858246245879,42.3823052517978,42.9148245293556,43.1896856577595,0,3,2,0,42.1768116748255,43.0257009122244,42.8607382266034,43.0344217537043,43.0744553886942,42.045443304868,42.9710403355334,42.7845425997165,42.8301867411555,43.0292150796135,41.8533158260011,42.864938020414,42.9610307086097,43.0676743273649,42.9040801866722,43.0590887541406,42.9442650807182,43.0889448237104
270,41.2752412150895,41.9906544866614,42.8383956269411,42.6088729085026,0,3,2,0,41.9507834118257,42.9556236023253,42.3405648022238,42.3957693110749,42.4707274899432,41.8498870773026,42.2260373494959,42.1185724192079,42.4039508657857,42.5071339493941,41.8940015832638,42.0488260240159,42.2551614340232,42.9553392779142,42.8827506857539,43.1322596268743,42.9667029896043,43.1752351776849
300,41.1548136034243,41.5121438811853,42.5507412199186,42.1296451327218,0,3,2,0,41.5897771282072,42.3441674079604,41.8786178064833,41.8131176287932,41.9840103557517,41.8695244902617,41.8611409621992,41.6054292300598,42.1420848306701,42.2360937925843,41.5014868955709,42.0868053953661,42.0916353793629,42.8035369204874,42.8781836327953,42.9783172007097,42.8768540855081,43.0304399584412
