"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.9690919614173,40.3064529289339,40.3064376214533,40.306460567798,0,1,0,2,49.9684480254584,49.9559023420799,49.4146805553366,45.0340753645913,40.340405436605,48.2541780782855,49.0636126594342,49.5578352339131,49.7966864836626,46.4451671455181,40.3234249109434,44.6814174984717,46.684890465764,47.5959568458873,49.9689571861117,49.9690919556368,49.9690894910845,49.9672976881146,49.9440323478856,47.2138796140205,49.1387552055548
90,49.3243306437336,40.3063359046298,40.3064375931295,40.3059933590655,0,1,0,2,48.1041652762442,46.0996360686909,42.2135234948783,41.1325905204182,42.982180322641,47.9114560554698,48.335734614288,48.8355709352844,49.0730059487228,45.2674434244499,40.36341810954,45.3292709123958,47.8099478223088,41.1503132966015,45.0818951340386,47.9845905710728,49.403800380231,49.6634853055065,50.0064128972165,48.0341856611508,48.1529276083277
120,46.1348297050912,40.3064336423963,40.3064374958361,40.3064554499199,0,1,0,2,43.2916037650826,42.6843677047981,42.4617426965511,42.6706666624202,41.6623428290936,46.6601037808439,45.5675643190294,46.5044021379363,47.7892934738058,45.5681775714199,40.33203798326,45.5875304153388,46.1661352240755,40.9534841473597,41.2930475072755,42.3017388952999,44.2258827865158,45.5861605027913,49.6962640814011,47.5057986481721,44.2537680281424
150,43.7126785438759,40.3064966566769,40.3064365148293,40.3066431282887,0,1,0,2,42.1537238287268,42.1002120652886,42.061719772738,41.9254244349248,41.5189993548421,45.9183075170172,44.2869944796392,45.217972004805,46.2609665847185,46.0419178964408,40.3371298627259,46.2476304113245,45.9560509276945,41.2256854165341,41.2660498626282,41.3204209142127,41.5757804692544,42.000943131553,45.5085669761995,44.3993891020183,42.2574189535496
180,42.9734083324616,40.3064448283347,40.3064369792096,40.3064632904103,0,1,0,2,42.4001375253981,42.5777388486902,42.6647505507863,41.8946142019379,40.9696393597094,44.1682751869121,44.631294173909,44.2110465464146,46.7883141799698,45.7461134727644,40.3191388180715,45.7598412980092,46.1974981226417,40.6735836263197,40.8909298442414,40.9558249864265,41.0161137916497,41.1231251366058,41.6446722462187,42.0317489484908,42.3668395042096
210,42.8282505131848,40.306402932655,40.3064362781146,40.3064346760809,0,1,0,2,42.6734485796409,42.6075041617161,42.09375063296,41.3126632709818,40.9175212239946,42.0566199818345,43.7688816096904,43.4328960329295,45.4802400810431,44.8222532237581,40.3253207149397,44.6250776756847,45.8418610749716,40.9619348511759,41.0660872818522,41.0986517880948,41.169658039324,41.2495882691288,41.350978892798,41.8465199970476,42.698546074715
240,42.4071883043052,40.3064298674728,40.3064313332702,40.3065373453418,0,1,0,2,42.3998682050746,41.9181578687824,41.1329592970111,40.8785928076094,40.8311958342615,42.1012248427243,43.0504093111407,43.0242265369523,44.4605647832853,44.1385835017945,40.3201119815733,43.5825625745481,45.3548234619828,41.4314615441953,41.6716522181236,41.6221077331771,41.5777502560489,41.6040849045529,41.6371552858682,41.6905706183441,42.6525590417872
270,41.942857814903,40.306454005059,40.3064343792748,40.3065113700219,0,1,0,2,41.1668587157874,40.9237008612341,40.724453225188,40.7086206616921,40.7423891699401,41.5981711756531,42.5277057098465,42.5421315877339,43.7152084094661,43.535029997183,40.3131932653308,43.121142196261,44.5310712520858,41.2928941586967,41.6173213144982,41.6271898816386,41.5804088509214,41.6047476219094,41.6337696678451,41.3128995450396,41.7822900204264
300,41.6077628954401,40.3064519394662,40.3064370025064,40.3064945521838,0,1,0,2,40.9105550519004,40.8512772895713,40.7605267795276,40.6890733559592,40.6607975350679,40.6662559804257,42.2607653153607,42.3016008423836,42.9796520442808,42.9257194167356,40.3132111745416,42.9404342397462,43.2110812232397,40.8914464736191,41.3113881209518,41.5167751568389,41.5180444965585,41.4442015282149,41.5104653691018,41.0063310864054,41.0687161388058
330,41.3495584113007,40.3064363628869,40.3064375294695,40.3064825707713,0,1,0,2,40.7302872275054,40.7095802200345,40.6907885468302,40.6530855739486,40.5988191300133,40.4622535532582,41.9616000475609,42.0420197730345,42.3197432914727,42.4701945634119,40.3134941450769,42.4851524831942,42.1721045198442,40.48885798193,40.8887394901298,41.2007848511465,41.2157812443792,41.1454946571893,41.3099935766153,40.8105258550712,40.7621424332103
360,41.0768113285008,40.3064349492139,40.3064411086917,40.3064797330479,0,1,0,2,40.6711254478117,40.6034889265269,40.5503714316415,40.5219274696972,40.5384253071607,40.5771581606443,41.5556185113038,41.7386733482389,41.7762120228476,42.0901532375814,40.3108432709609,42.0233421328019,41.6382606905607,40.5588670033793,40.7444035583017,40.899497617671,40.9200521222203,40.8927437637817,41.1018429599814,40.7524174891757,40.7395503070437
390,40.8248320387164,40.3064519634736,40.3064383870485,40.3064940114007,0,1,0,2,40.5167812186004,40.4995781020348,40.4646481646527,40.4582640488459,40.4726790822375,40.6830718548603,41.2190321543989,41.5297731963625,41.3367552860776,41.7014592505469,40.3075649131565,41.6934480476262,41.5385837921599,40.5720691024046,40.7597735441017,40.8238755745537,40.741971637092,40.7269050894358,40.8679274066162,40.631497373226,40.5415382146488
420,40.6937518735554,40.3064646093651,40.3064374362328,40.3065175327724,0,1,0,2,40.4657817157667,40.4569466201363,40.4490885733406,40.4417611022306,40.434481333804,40.4666976872206,41.0802943081318,41.3057499915136,41.106833994397,41.4872638051167,40.3083789823939,41.4546750991487,41.4882159309647,40.4497950346726,40.6225380127958,40.7423812355377,40.7000877067786,40.6633714959678,40.702962494407,40.5518978854453,40.4917809687816
450,40.6361962434491,40.3064482389303,40.3064343828409,40.3065089615902,0,1,0,2,40.4656996653387,40.4579481931198,40.4495920038853,40.4302750868033,40.4018553234884,40.3870195146868,40.8564842388954,41.1052597892488,40.9700711720181,41.2828812318058,40.3081024146347,41.2464821841857,41.4020869550011,40.3904669941803,40.4739189721904,40.6265839384375,40.6682216120124,40.6343947645997,40.6215008916097,40.4838833078384,40.4798865177735
480,40.6082371643722,40.3064516651619,40.3064382307604,40.3065080423583,0,1,0,2,40.4547971715918,40.4485262778708,40.4360033132112,40.4107827828509,40.3757102213212,40.3553959622021,40.7145729215108,40.9389532527999,40.8077670562484,41.104363962063,40.3083697678202,41.0286836494486,41.0349791936908,40.380344053468,40.42574215484,40.4889961044384,40.6139665195628,40.6193584082911,40.5693826939761,40.4697456721246,40.468380149046
510,40.5492938680887,40.3063327314626,40.3065088624814,40.3063014540247,0,3,3,2,40.4765084857574,40.4800256543132,40.4560110883557,40.4026500490167,40.3371293300898,40.3294865739211,40.3270609894675,40.4225095859053,40.4539254831367,40.744438415644,40.3151333587598,40.5711584210192,40.5656944642786,40.341230942886,40.3760045692348,40.3943238229499,40.4315248553372,40.4738384568599,40.4704578758617,40.4535921659122,40.495485900586
540,40.5000432239056,40.3073132630191,40.3067838829159,40.3075749672326,0,3,3,2,40.4552441146496,40.4458002594785,40.4202603703279,40.3907614835664,40.3281901628634,40.306727917083,40.3367782203508,40.3391984184883,40.3533792685629,40.5350910072064,40.3073008618215,40.4861625911891,40.4937421701494,40.3752880706803,40.4173879721914,40.4421361240065,40.4557263182318,40.451188680948,40.3999165406233,40.375095724311,40.4602500934962
