"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
300,53.0498181425981,50.4754330945671,50.4754246432906,50.4754288846167,2,0,0,0,52.8889569556417,52.7199620755882,52.8373567196305,53.0065167209039,53.0193186155677,53.0357303353857,53.0271034050493,53.0090724428486,52.973250109421,52.5750872936118,50.8771390854451,52.4697499091336,52.8786197420834,52.9050780117081,52.8903684733042,52.8652350941949,52.823935209625,52.8399738352988
600,43.4342635079342,40.3066450099199,40.3064857815492,40.3064837782825,0,3,3,0,40.3373781248346,40.2900753998548,46.7955381464332,41.6861036474021,42.5667526426768,42.6674359514228,44.4315764384079,45.0849970562966,41.5656001689585,43.6644040310712,43.0920296806263,44.878144171395,45.8980452893545,41.0321974461391,41.3839936449244,41.6187856432896,44.0619471591255,46.1332969441743
900,44.1839706551219,40.3072965533078,40.3071431753906,40.3082093430117,0,3,2,0,40.273669541655,40.4386157216306,41.2276039327153,40.3744202894637,40.4046156325927,40.3896152686779,40.6217810439448,40.9452416318438,41.7304483402151,41.920472311454,41.5972992453098,41.5952375622699,41.4217017455894,41.0320894722761,40.9754791843829,41.1201435299038,41.7306510735508,42.2617931980035
1200,40.3249622997773,40.3055183776445,40.3060236545088,40.306288774594,0,1,0,0,40.3869696168316,40.7727899929368,40.7994642415008,40.3588817953237,40.4117234834922,40.5057480472034,40.3329779677694,40.4553625120126,41.0904051174767,41.0865910408618,40.8726097029026,40.924830151253,41.0475801945843,40.8448391067536,40.9086472687452,40.8850851927503,41.0615541763375,41.0837977443267
1500,42.3522308995104,40.3067526858995,40.3065194506776,40.3065861193268,0,1,0,0,40.4123710272849,40.5112813694703,40.7124071018869,40.4815291477663,40.5516297462827,40.7745614573083,40.5748831009043,40.6089483397297,40.590668162795,40.5815811749453,40.5666910061141,40.6638039932518,40.6800877987031,40.5209247434466,40.5178848172873,40.5532509164202,40.5780842508031,40.6535609459832
1800,40.899831083467,40.3069167658241,40.3069358865893,40.3066924395167,0,1,0,0,40.3953838784272,40.4660897452889,40.513576363314,40.4290449702158,40.5127152179355,40.4938610782956,40.4721711228647,40.4771338260253,40.4668750931886,40.4778583083637,40.4694326319469,40.4787778055731,40.5029226843992,40.4584026779271,40.4602019106052,40.4669503684234,40.4630483723684,40.4793716048322
2100,40.6851603243947,40.3061971112799,40.3061364150189,40.3060931374209,0,0,0,0,40.4746915163977,40.4739660916668,40.4830221547221,40.4439626404363,40.3999197255795,40.4760473932981,40.4734898697779,40.4837861992212,40.4690251778207,40.4610182694114,40.4596051086556,40.4666325612151,40.4803187477599,40.4640985573795,40.4645500179011,40.4681361283177,40.4749705057568,40.4704774275487
2400,40.5301698518296,40.3061697865127,40.3062645047532,40.3064259675707,0,0,0,0,40.4757148977354,40.4705211419116,40.4737518481784,40.4788440798254,40.4659690843437,40.4707306909025,40.4660235640815,40.4687124962249,40.4757682928544,40.4713170666855,40.468360281035,40.4668671544442,40.4697476360412,40.4709944673775,40.4678820216257,40.4722671279559,40.4704758471831,40.4695425785263
2700,40.4931472117696,40.3066202670619,40.3065660146747,40.3065914141009,0,0,0,0,40.4709158031574,40.4627497066917,40.4678902891673,40.4713534499354,40.4771022223993,40.4628790086757,40.4655203765909,40.460262725538,40.4703791365687,40.4695424782614,40.4697157161485,40.468818085949,40.4707902356339,40.4675900267147,40.4667924861438,40.4677680193799,40.4676275804626,40.4664273212018
3000,40.4733432150404,40.3065966952607,40.3064608206476,40.3064001937718,0,0,0,0,40.4755615689562,40.4657208094832,40.4691311989243,40.4695352473859,40.4693423621969,40.469114971389,40.465850166351,40.465776082267,40.4706853378355,40.4680345867895,40.4670157851018,40.4670053046023,40.4655053687385,40.4666344312737,40.4675204290421,40.466921222815,40.4667993101016,40.4663402528568
